block,treat,plant,dist,up_down,slope,d15,precN,precC,C/N,dist2
10,T,Kalmia,0.25,up,15,201,1.2022,52.7496,43.879,1
11,T,Kalmia,0.25,up,11,31,1.1136,51.323,46.0879,1
12,T,Kalmia,0.25,up,11,2358,1.4383,51.9977,36.1523,1
13,T,Kalmia,0.25,up,10,2285,1.0279,53.566,52.1122,1
14,T,Kalmia,0.25,up,6,1381,1.1216,52.2817,46.6135,1
15,T,Kalmia,0.25,up,1,17,1.1006,50.7692,46.1295,1
16,T,Kalmia,0.25,up,4,2640,1.2999,54.7009,42.0824,1
17,T,Kalmia,0.25,up,10,6024,1.4339,52.72,36.7666,1
18,T,Kalmia,0.25,up,8,6,0.8633,52.3711,60.6652,1
19,T,Kalmia,0.25,up,25,4935,1.3604,51.6473,37.9657,1
20,T,Kalmia,0.25,up,11,594,1.124,51.517,45.8321,1
1,T,Kalmia,0.25,down,13,2304,1.4725,48.6504,33.0404,1
2,T,Kalmia,0.25,down,25,9,1.304,51.1049,39.1917,1
3,T,Kalmia,0.25,down,18,483,1.0816,53.5595,49.5202,1
4,T,Kalmia,0.25,down,6,1165,1.497,55.3925,37.0029,1
5,T,Kalmia,0.25,down,4,3471,1.1908,48.8179,40.9954,1
6,T,Kalmia,0.25,down,8,769,1.1066,55.6263,50.2688,1
7,T,Kalmia,0.25,down,4,666,1.2406,51.5299,41.5363,1
8,T,Kalmia,0.25,down,9,1986,0.8105,51.9836,64.1347,1
9,T,Kalmia,0.25,down,10,926,1.2311,50.2592,40.8251,1
10,T,Kalmia,0.25,down,15,1609,1.0896,51.2136,47.0035,1
11,T,Kalmia,0.25,down,11,57,1.5934,53.4527,33.5468,1
12,T,Kalmia,0.25,down,11,3066,1.6165,51.5015,31.8592,1
13,T,Kalmia,0.25,down,10,1894,1.2794,52.4922,41.028,1
14,T,Kalmia,0.25,down,6,850,1.1092,52.7549,47.5593,1
15,T,Kalmia,0.25,down,1,0,1.3163,48.3723,36.7495,1
16,T,Kalmia,0.25,down,4,4609,0.908,52.4318,57.7436,1
17,T,Kalmia,0.25,down,10,17,1.1513,46.5303,40.4149,1
18,T,Kalmia,0.25,down,8,265,1.0394,51.4641,49.5111,1
19,T,Kalmia,0.25,down,25,77,0.9915,52.3969,52.8481,1
20,T,Kalmia,0.25,down,11,4245,1.0296,52.6772,51.162,1
1,T,Lichen,0.5,up,13,NA,NA,NA,NA,2
2,T,Lichen,0.5,up,25,NA,NA,NA,NA,2
3,T,Lichen,0.5,up,18,NA,NA,NA,NA,2
4,T,Lichen,0.5,up,6,NA,NA,NA,NA,2
5,T,Lichen,0.5,up,4,NA,NA,NA,NA,2
6,T,Lichen,0.5,up,8,8,0.3113,42.4216,136.286,2
7,T,Lichen,0.5,up,4,NA,NA,NA,NA,2
8,T,Lichen,0.5,up,9,3,0.3174,42.8623,135.0443,2
9,T,Lichen,0.5,up,10,43,0.3244,42.5187,131.0536,2
10,T,Lichen,0.5,up,15,29,0.3127,42.5122,135.9307,2
11,T,Lichen,0.5,up,11,NA,NA,NA,NA,2
12,T,Lichen,0.5,up,11,63,0.3072,42.5745,138.6101,2
13,T,Lichen,0.5,up,10,13,0.3054,42.5236,139.2555,2
14,T,Lichen,0.5,up,6,41,0.2916,42.814,146.8444,2
15,T,Lichen,0.5,up,1,NA,NA,NA,NA,2
16,T,Lichen,0.5,up,4,21,0.2849,41.0487,144.0928,2
17,T,Lichen,0.5,up,10,543,0.3736,43.0427,115.2248,2
18,T,Lichen,0.5,up,8,11,0.3571,43.483,121.7533,2
19,T,Lichen,0.5,up,25,172,0.4982,43.2322,86.7776,2
20,T,Lichen,0.5,up,11,54,0.3633,43.3762,119.4109,2
1,T,Lichen,0.5,down,13,NA,NA,NA,NA,2
2,T,Lichen,0.5,down,25,NA,NA,NA,NA,2
3,T,Lichen,0.5,down,18,181,0.3036,42.9684,141.5495,2
4,T,Lichen,0.5,down,6,NA,NA,NA,NA,2
5,T,Lichen,0.5,down,4,238,0.3167,42.8692,135.3594,2
6,T,Lichen,0.5,down,8,NA,NA,NA,NA,2
7,T,Lichen,0.5,down,4,6,0.2938,42.2253,143.7023,2
8,T,Lichen,0.5,down,9,14,0.3063,42.9726,140.2815,2
